"","Race","Metro","Prop2020","Prop2021","PropInitial","PropSecond","PropAlpha","PropDelta","PropOmicron"
"1","All","Large Metro",56.3462639968158,56.2084444401059,78.0476991839024,52.8093036289758,48.6631795236543,41.1448279859722,46.408997216866
"2","All","Medium/Small Metro",29.6290882914974,29.7614167592438,16.5743806887067,32.1296190148649,31.0992897292278,35.4601049184129,32.1318996551953
"3","All","Nonmetro",14.0246477116869,14.0301388006503,5.37792012739084,15.0610773561593,20.2375307471179,23.3950670956149,21.4591031279387
"4","Hispanic","Large Metro",68.5618904978202,68.2642187997353,88.7015546310488,61.6158383247222,66.683821258951,59.6317397407316,60.5785661974123
"5","Hispanic","Medium/Small Metro",25.1506266511421,25.38638444206,9.50295598861397,31.2697178912715,25.9362731403197,29.7580711749649,30.1489136626251
"6","Hispanic","Nonmetro",6.28748285103771,6.34939675820464,1.7954893803372,7.11444378400622,7.37990560072932,10.6101890843035,9.27252013996257
"7","Non-Hispanic Black","Large Metro",66.9728441244639,66.8942007035399,82.2043235439383,53.7024124947706,59.1874534436593,55.4900163405205,64.9992028061224
"8","Non-Hispanic Black","Medium/Small Metro",24.1945049940937,24.299306101075,12.4729303597888,28.9429647190071,26.7500150993537,30.361484197521,24.6572066326531
"9","Non-Hispanic Black","Nonmetro",8.83265088144234,8.8064931953851,5.32274609627294,17.3546227862223,14.062531456987,14.1484994619585,10.3435905612245
"10","Non-Hispanic White","Large Metro",49.2733802111361,49.0369213720535,71.8364117910088,46.664568085832,40.6436260623229,33.8822278255202,40.3729855293723
"11","Non-Hispanic White","Medium/Small Metro",32.9108724443562,33.0818327369813,21.6816290028549,34.8810366989323,34.1714825306893,37.8900152661281,34.0681613287445
"12","Non-Hispanic White","Nonmetro",17.8157473445077,17.8812458909652,6.48195920613628,18.4543952152357,25.1848914069877,28.2277569083518,25.5588531418832
