"","Metro","Race","initial_ASDR","second_ASDR","pct_change_dr","pct_change_dr_lower","pct_change_dr_upper","initial_rr","initial_rr_lower","initial_rr_upper","second_rr","second_rr_lower","second_rr_upper","pct_change_rr","pct_change_rr_lower","pct_change_rr_upper"
"1","Large Metro","Hispanic",403.036275741408,326.866376304365,-18.8990182823925,-21.0308061289823,-16.7672304358027,1.92574391711873,1.88992802314016,1.96155981109729,3.65920518874667,3.57564365860894,3.74276671888441,90.0151497932047,84.4189373034106,95.6113622829989
"2","Large Metro","Non-Hispanic AI/AN",122.286704596222,219.026690695179,79.1091610640608,48.5377962689978,109.680525859124,0.584296976959372,0.475274614049409,0.693319339869334,2.4519609882404,2.11822187067018,2.78570010581063,319.642935857753,222.723556209157,416.562315506349
"3","Large Metro","Non-Hispanic Asian",239.966230417966,87.3452940450608,-63.60100590282,-66.7858486590399,-60.4161631466002,1.14658043544896,1.11340246955026,1.17975840134765,0.977813493073015,0.931455218705933,1.0241717674401,-14.7191542048123,-19.4559194035424,-9.98238900608217
"4","Large Metro","Non-Hispanic Black",590.688408487524,205.714695694577,-65.1737375003997,-66.7358520071957,-63.6116229936036,2.82236284429948,2.77563843853171,2.86908725006725,2.30293580636175,2.24079126793041,2.3650803447931,-18.4039780351719,-20.9871799288366,-15.8207761415071
"5","Large Metro","Non-Hipanic White",209.288614212229,89.3271515108234,-57.3186760077444,-58.4656003188343,-56.1717516966545,1,0.986426142151945,1.01357385784806,1,0.979196882411885,1.02080311758811,0,-2.48398735557198,2.48398735557198
"6","Medium/Small Metro","Hispanic",120.325521274596,461.365810401603,283.431383063546,272.865536382562,293.997229744529,1.38482856955424,1.31338806798334,1.45626907112515,4.9934719813338,4.84448385914327,5.14246010352432,260.584125076299,239.09518495501,282.073065197589
"7","Medium/Small Metro","Non-Hispanic AI/AN",233.052472615837,234.616079959119,0.670925017757814,-16.5243117210796,17.8661617565952,2.68220506227558,2.35055820081584,3.01385192373531,2.53930567725952,2.23161172020175,2.84699963431729,-5.32768307039199,-21.7175838390907,11.0622176983067
"8","Medium/Small Metro","Non-Hispanic Asian",63.9252180755233,89.798348355356,40.4740586872387,23.1735440158398,57.7745733586376,0.735716474512047,0.652418875477423,0.819014073546672,0.971908898260579,0.879102086961573,1.06471570955959,32.1037290765009,12.5377041972679,51.669753955734
"9","Medium/Small Metro","Non-Hispanic Black",249.20790870744,310.879464407876,24.7470299078011,19.5565287462153,29.9375310693869,2.86813826427853,2.75656326048155,2.9797132680755,3.36472243953556,3.24591531964997,3.48352955942115,17.3138157752638,11.1505400645143,23.4770914860133
"10","Medium/Small Metro","Non-Hipanic White",86.8883874293025,92.3937917597705,6.33617965916051,3.81512456935484,8.85723474896618,1,0.975242803986067,1.02475719601393,1,0.975872843969647,1.02412715603035,0,-3.4569327627035,3.4569327627035
"11","Nonmetro","Hispanic",83.0573631741363,405.767119009655,388.538407075279,361.214439214413,415.862374936145,1.78516021878818,1.57760591922957,1.99271451834679,4.6602489473895,4.39838481101338,4.92211308376563,161.054940522538,127.344139063628,194.765741981449
"12","Nonmetro","Non-Hispanic AI/AN",273.826897290143,463.626552687965,69.3137369908238,52.8107527623911,85.8167212192564,5.88538890708221,5.26126944621218,6.50950836795223,5.32476648038725,4.89580875906575,5.75372420170875,-9.5256649228453,-21.5745274008174,2.52319755512675
"13","Nonmetro","Non-Hispanic Asian",31.7801697316334,62.0145346127489,95.1359452653294,24.9037016345452,165.368188896114,0.683054368488723,0.402549117205694,0.963559619771751,0.712239006347472,0.503281391043811,0.921196621651132,4.27266689228863,-48.3532025678581,56.8985363524353
"14","Nonmetro","Non-Hispanic Black",256.406949703842,451.715191625207,76.1711966648924,67.4445631326495,84.8978301971353,5.51098023028325,5.1710801878188,5.85088027274769,5.187964099775,4.94949869151408,5.42642950803592,-5.86131898520066,-13.1025539130592,1.37991594265793
"15","Nonmetro","Non-Hipanic White",46.5265595210933,87.0698375967555,87.1400733107753,81.6938830524943,92.5862635690563,1,0.954581893032986,1.04541810696701,1,0.966760488071764,1.03323951192824,0,-5.62820539221378,5.62820539221378
"16","Total","Hispanic",311.674969644661,365.578137799567,17.2946734273724,15.0970383401269,19.492308514618,2.28485334526015,2.24586545282444,2.32384123769586,4.06825399241417,3.99910940391657,4.13739858091178,78.0531779360641,73.7649563755727,82.3413994965556
"17","Total","Non-Hispanic AI/AN",218.779023119328,321.557066575314,46.9780155293627,35.7663610939657,58.1896699647596,1.60384384866341,1.487704318458,1.71998337886882,3.57837541314146,3.36596844297411,3.79078238330881,123.11245674718,102.221804622948,144.003108871411
"18","Total","Non-Hispanic Asian",203.25485838104,87.0304187393189,-57.1816292941133,-60.3385771860594,-54.0246814021672,1.49003798297235,1.44879927590173,1.53127669004297,0.968498419048872,0.928319132436602,1.00867770566114,-35.0017630344632,-38.2432652095892,-31.7602608593373
"19","Total","Non-Hispanic Black",476.792076648793,254.361920858337,-46.6513951645004,-48.1605794242684,-45.1422109047324,3.49530786051427,3.44395133811939,3.54666438290916,2.83060936378371,2.77571812367247,2.88550060389496,-19.0168798645611,-20.9871751753675,-17.0465845537547
"20","Total","Non-Hipanic White",136.409179298627,89.861188234864,-34.1237967291485,-35.1738926716734,-33.0737007866237,1,0.98848222138046,1.01151777861954,1,0.985769534216334,1.01423046578367,0,-1.83075225180474,1.83075225180474
