"","Metro","Race","initial_ASDR","alpha_ASDR","pct_change_dr","pct_change_dr_lower","pct_change_dr_upper","initial_rr","initial_rr_lower","initial_rr_upper","alpha_rr","alpha_rr_lower","alpha_rr_upper","pct_change_rr","pct_change_rr_lower","pct_change_rr_upper"
"1","Large Metro","Hispanic",403.036275741408,362.027986752997,-10.1748382110205,-11.9816354709056,-8.36804095113533,1.92574391711873,1.88992802314016,1.96155981109729,2.00915797270412,1.9866176267538,2.03169831865443,4.33152377343069,2.06542799985602,6.59761954700537
"2","Large Metro","Non-Hispanic AI/AN",122.286704596222,260.518719977564,113.039284064257,88.9333481477054,137.145219980809,0.584296976959372,0.475274614049409,0.693319339869334,1.44580883918986,1.34166323312264,1.54995444525708,147.444175856209,97.9531639525794,196.935187759839
"3","Large Metro","Non-Hispanic Asian",239.966230417966,182.77789819852,-23.8318250529824,-26.8786862147726,-20.7849638911922,1.14658043544896,1.11340246955026,1.17975840134765,1.01436818377859,0.995351307347007,1.03338506021018,-11.5310053776205,-14.5813095037706,-8.48070125147041
"4","Large Metro","Non-Hispanic Black",590.688408487524,258.550578704245,-56.2289398286531,-57.6698204859011,-54.7880591714052,2.82236284429948,2.77563843853171,2.86908725006725,1.43488618438032,1.41619041413842,1.45358195462223,-49.1601093290163,-50.2311752443296,-48.089043413703
"5","Large Metro","Non-Hipanic White",209.288614212229,180.188910813093,-13.9041024800458,-14.9933935265015,-12.8148114335901,1,0.986426142151945,1.01357385784806,1,0.991539289945255,1.00846071005474,0,-1.59947876356542,1.59947876356542
"6","Medium/Small Metro","Hispanic",120.325521274596,388.892036841932,223.199960176727,216.294245419424,230.10567493403,1.38482856955424,1.31338806798334,1.45626907112515,1.85691942196762,1.82618697789744,1.8876518660378,34.0902016893934,26.8254954131115,41.3549079656752
"7","Medium/Small Metro","Non-Hispanic AI/AN",233.052472615837,408.5258202219,75.2934931934035,59.9946550683074,90.5923313184996,2.68220506227558,2.35055820081584,3.01385192373531,1.95066871542458,1.84774301555801,2.05359441529115,-27.2736919760476,-37.0506282121792,-17.496755739916
"8","Medium/Small Metro","Non-Hispanic Asian",63.9252180755233,150.573691489505,135.546621540833,120.701899785565,150.391343296102,0.735716474512047,0.652418875477423,0.819014073546672,0.718973868518347,0.688815877980042,0.749131859056653,-2.2756872482439,-14.074924714519,9.52355021803119
"9","Medium/Small Metro","Non-Hispanic Black",249.20790870744,327.586494221965,31.4510827208693,27.301475017103,35.6006904246357,2.86813826427853,2.75656326048155,2.9797132680755,1.56419177012437,1.53531202183198,1.59307151841675,-45.4631671838933,-47.8115552457251,-43.1147791220615
"10","Medium/Small Metro","Non-Hipanic White",86.8883874293025,209.428601069752,141.031750347715,138.675545594819,143.387955100612,1,0.975242803986067,1.02475719601393,1,0.99074688448557,1.00925311551443,0,-2.64298865149977,2.64298865149977
"11","Nonmetro","Hispanic",83.0573631741363,430.911747059401,418.812216751886,400.347959001542,437.27647450223,1.78516021878818,1.57760591922957,1.99271451834679,1.56727598380482,1.52128708896336,1.61326487864627,-12.2053041900784,-22.732952994914,-1.67765538524272
"12","Nonmetro","Non-Hispanic AI/AN",273.826897290143,619.963082657296,126.406934012911,113.054865026617,139.759002999206,5.88538890708221,5.26126944621218,6.50950836795223,2.25487760991681,2.16628707537525,2.34346814445837,-61.6868545899593,-66.0196703593745,-57.3540388205441
"13","Nonmetro","Non-Hispanic Asian",31.7801697316334,144.895328341959,355.930001524607,291.595805270448,420.264197778767,0.683054368488723,0.402549117205694,0.963559619771751,0.527001108290884,0.469498103497833,0.584504113083934,-22.8463893061853,-55.6298653449754,9.93708673260473
"14","Nonmetro","Non-Hispanic Black",256.406949703842,422.601746685344,64.8168067103727,58.272793462223,71.3608199585225,5.51098023028325,5.1710801878188,5.85088027274769,1.53705154898598,1.498961928542,1.57514116942995,-72.1092893685272,-73.9631581151735,-70.2554206218808
"15","Nonmetro","Non-Hipanic White",46.5265595210933,274.94311883303,490.937996841098,485.399448306061,496.476545376134,1,0.954581893032986,1.04541810696701,1,0.989201139234288,1.01079886076571,0,-4.66842568143089,4.66842568143089
"16","Total","Hispanic",311.674969644661,373.214360216095,19.7447329959138,17.9816930799297,21.5077729118979,2.28485334526015,2.24586545282444,2.32384123769586,1.79352639848911,1.77803947535323,1.80901332162498,-21.5036535185194,-23.0048209643292,-20.0024860727096
"17","Total","Non-Hispanic AI/AN",218.779023119328,452.519231081165,106.838491473814,97.5369879373525,116.139995010275,1.60384384866341,1.487704318458,1.71998337886882,2.1746354730245,2.1121089420104,2.2371620040386,35.5889773706314,25.0248710900536,46.1530836512093
"18","Total","Non-Hispanic Asian",203.25485838104,175.953505533107,-13.4320788518381,-16.423799679877,-10.4403580237991,1.49003798297235,1.44879927590173,1.53127669004297,0.845565687498212,0.83153538549586,0.859595989500563,-43.2520716142105,-45.0832784833067,-41.4208647451142
"19","Total","Non-Hispanic Black",476.792076648793,290.795221498416,-39.010055799938,-40.3480995139825,-37.6720120858935,3.49530786051427,3.44395133811939,3.54666438290916,1.39745133603625,1.38391363962107,1.41098903245143,-60.0192202860597,-60.7228479681155,-59.3155926040039
"20","Total","Non-Hipanic White",136.409179298627,208.089694431314,52.548160982454,51.546761686864,53.549560278044,1,0.98848222138046,1.01151777861954,1,0.994598296493274,1.00540170350673,0,-1.27215417738299,1.27215417738299
