"","Metro","Race","initial_ASDR","delta_ASDR","pct_change_dr","pct_change_dr_lower","pct_change_dr_upper","initial_rr","initial_rr_lower","initial_rr_upper","delta_rr","delta_rr_lower","delta_rr_upper","pct_change_rr","pct_change_rr_lower","pct_change_rr_upper"
"1","Large Metro","Hispanic",403.036275741408,180.935540426074,-55.1068845866957,-56.8745751173155,-53.3391940560758,1.92574391711873,1.88992802314016,1.96155981109729,1.47286853376325,1.44381603099836,1.50192103652815,-23.5169058216763,-25.5904065965064,-21.4434050468462
"2","Large Metro","Non-Hispanic AI/AN",122.286704596222,193.390776874397,58.1453826178027,32.897334996972,83.3934302386335,0.584296976959372,0.475274614049409,0.693319339869334,1.57425782302128,1.40395608196565,1.74455956407691,169.42768576582,111.317742513943,227.537629017697
"3","Large Metro","Non-Hispanic Asian",239.966230417966,49.5792444981035,-79.339074330689,-82.2175983965077,-76.4605502648703,1.14658043544896,1.11340246955026,1.17975840134765,0.403589637376121,0.385309598230546,0.421869676521697,-64.8005822445338,-66.6924750977873,-62.9086893912802
"4","Large Metro","Non-Hispanic Black",590.688408487524,202.941717261311,-65.6431860951954,-67.1108115191259,-64.1755606712649,2.82236284429948,2.77563843853171,2.86908725006725,1.65200528784001,1.61975081159065,1.68425976408937,-41.4672960573912,-42.9656349056991,-39.9689572090832
"5","Large Metro","Non-Hipanic White",209.288614212229,122.845682610772,-41.3032175337545,-42.424986716031,-40.1814483514781,1,0.986426142151945,1.01357385784806,1,0.986010838559402,1.0139891614406,0,-1.94922101027648,1.94922101027648
"6","Medium/Small Metro","Hispanic",120.325521274596,240.337909876479,99.7397620476557,92.8852740947112,106.5942500006,1.38482856955424,1.31338806798334,1.45626907112515,1.2328093172641,1.20075706157522,1.26486157295297,-10.9774780526861,-16.1202421769854,-5.83471392838673
"7","Medium/Small Metro","Non-Hispanic AI/AN",233.052472615837,294.296826985139,26.2792124373886,10.4316709179802,42.126753956797,2.68220506227558,2.35055820081584,3.01385192373531,1.50959068644229,1.38842292633625,1.63075844654834,-43.7182970208265,-52.0150530332057,-35.4215410084473
"8","Medium/Small Metro","Non-Hispanic Asian",63.9252180755233,99.0283094776056,54.9127440763837,39.6625086550347,70.1629794977327,0.735716474512047,0.652418875477423,0.819014073546672,0.507964068838117,0.47364018698951,0.542287950686724,-30.956545566685,-40.0599728121839,-21.8531183211861
"9","Medium/Small Metro","Non-Hispanic Black",249.20790870744,305.870009086376,22.736878886719,18.2740370126365,27.1997207608015,2.86813826427853,2.75656326048155,2.9797132680755,1.56895513182726,1.53021953988892,1.6076907237656,-45.2970886596388,-47.8175017895262,-42.7766755297514
"10","Medium/Small Metro","Non-Hipanic White",86.8883874293025,194.951406118382,124.369920867741,121.627191350728,127.112650384754,1,0.975242803986067,1.02475719601393,1,0.986691809665392,1.01330819033461,0,-2.81074133362433,2.81074133362433
"11","Nonmetro","Hispanic",83.0573631741363,333.928966467348,302.046192782739,282.356185140222,321.736200425257,1.78516021878818,1.57760591922957,1.99271451834679,1.27016236513088,1.21708657809262,1.32323815216914,-28.8488309473365,-37.6393890774966,-20.0582728171765
"12","Nonmetro","Non-Hispanic AI/AN",273.826897290143,374.336956023078,36.7056924384007,23.2584588515049,50.1529260252965,5.88538890708221,5.26126944621218,6.50950836795223,1.42386184237975,1.33016260888769,1.51756107587182,-75.8068351155801,-78.8262494571516,-72.7874207740087
"13","Nonmetro","Non-Hispanic Asian",31.7801697316334,107.530645156339,238.357680479299,168.997963961585,307.717396997014,0.683054368488723,0.402549117205694,0.963559619771751,0.409013270159598,0.341185775410564,0.476840764908631,-40.1199539848415,-66.6397488797374,-13.6001590899456
"14","Nonmetro","Non-Hispanic Black",256.406949703842,367.620047166656,43.3736673640355,36.2906409654017,50.4566937626693,5.51098023028325,5.1710801878188,5.85088027274769,1.39831280142743,1.34963431537236,1.4469912874825,-74.6267861070595,-76.4237996761285,-72.8297725379906
"15","Nonmetro","Non-Hipanic White",46.5265595210933,262.902582878009,465.059152415556,458.083345311988,472.034959519123,1,0.954581893032986,1.04541810696701,1,0.984501428716194,1.01549857128381,0,-4.79896879788391,4.79896879788391
"16","Total","Hispanic",25.9729141370551,17.1414210359868,-34.0027039494523,-35.7364419871562,-32.2689659117484,2.28485334526015,2.24586545282444,2.32384123769587,1.18917292844942,1.17205230291006,1.20629355398877,-47.9540806889723,-49.1160500720128,-46.7921113059319
"17","Total","Non-Hispanic AI/AN",18.231585259944,24.8750499593464,36.4393145449533,26.9273277750262,45.9513013148805,1.60384384866341,1.487704318458,1.71998337886882,1.72568749950074,1.64637155385499,1.80500344514649,7.59697715827305,-1.63141763453931,16.8253719510854
"18","Total","Non-Hispanic Asian",16.9379048650867,4.96706168304054,-70.6748755374172,-73.5229916430273,-67.8267594318071,1.49003798297235,1.44879927590173,1.53127669004297,0.344586092075427,0.332017983082114,0.357154201068739,-76.8740061653971,-77.9328283431806,-75.8151839876137
"19","Total","Non-Hispanic Black",39.7326730540661,20.2466602047995,-49.0427936291904,-50.4224660460204,-47.6631212123604,3.49530786051427,3.44395133811939,3.54666438290916,1.4045965125362,1.38521109679402,1.42398192827838,-59.8147983356883,-60.6248695392605,-59.0047271321161
"20","Total","Non-Hipanic White",11.367431608219,14.4145738823182,26.8058993369802,25.7105037674728,27.9012949064876,1,0.98848222138046,1.01151777861954,1,0.991830434022531,1.00816956597747,0,-1.41209430488526,1.41209430488526
